outlet_no,total_sales_actual
1001,5752
1002,3158
1003,5139
1004,3020
1005,5197
1006,-446
1007,-461
1008,1927
1009,1910
1010,3306
1011,3176
1012,3886
1013,-593
1014,5122
1015,880
1016,1130
1017,1459
1018,-6120
1019,1097
1020,8827
1021,2288
1022,-618
1023,5744
1024,4736
1025,2848
1026,13423
1027,2824
1028,7403
1029,2734
1030,-792
1031,2755
1032,2369
1033,81373
1034,3116
1035,6251
1036,3844
1037,132
1038,7200
1039,6375
1040,12144
1041,4338
1042,24916
1043,1246
1044,1563
1045,7703
1046,3668
1047,-2034
1048,1362
1049,6275
1050,4467
1051,117284
1052,9624
1053,1201
1054,19161
1055,-3824
1056,-291
1057,801
1058,3950
1059,2382
1060,6529
1061,-2788
1062,23872
1063,31943
1064,4864
1065,33
1066,14057
1067,9122
1068,-1957
1069,15785
1070,12576
1071,11839
1072,10281
1073,12763
1074,2875
1075,13620
1076,8929
1077,5184
1078,35645
1079,3132
1080,18058
1081,5954
1082,2412
1083,5894
1084,4921
1085,9629
1086,12298
1087,48138
1088,3220
1089,-2148
1090,24171
1091,18824
1092,2546
1093,-7916
1094,746
1095,-183
1096,5275
1097,2516
1098,1186
1099,214
1100,616
1101,-1526
1102,-2381
1103,12082
1104,2438
1105,3990
1106,1816
1107,3386
1108,140262
1109,19356
1110,171647
1111,12647
1112,5100
1113,-1033
1114,12790
1115,12984
1116,9639
1117,4378
1118,1892
1119,699746
1120,4958
1121,-399
1122,14760
1123,5762
1124,14551
1125,9759
1126,2222
1127,921
1128,1932
1129,5666
1130,678
1131,14522
1132,5325
1133,7885
1134,515
1135,-1661
1136,-2796
1137,-1919
1138,-1383
1139,-1875
1140,5449
1141,-1267
1142,3605
1143,496
1144,-2384
1145,-1946
1146,2090
1147,-2289
1148,1606
1149,10144
1150,3056
1151,6502
1152,-246
1153,9074
1154,2440
1155,21283
1156,2492
1157,2604
1158,2352
1159,-5133
1160,939
1161,3034
1162,6239
1163,-956
1164,6792
1165,15032
1166,3346
1167,3062
1168,8411
1169,4967
1170,8298
1171,8829
1172,-719
1173,1417
1174,27964
1175,18503
1176,-999
1177,21680
1178,-571
1179,12427
1180,14502
1181,24934
1182,22437
1183,18677
1184,4823
1185,8662
1186,2723
1187,4685
1188,1671
1189,18167
1190,9487
1191,9486
1192,149966
1193,1741
1194,2489
1195,13171
1196,13469
1197,18483
1198,-1005
1199,6142
1200,44721
1201,18384
1202,4549
1203,3602
1204,22524
1205,1222
1206,12972
1207,8318
1208,5702
1209,-2261
1210,5929
1211,9793
1212,47133
1213,47203
1214,-2097
1215,1625
1216,1179
1217,90969
1218,4111
1219,2480
1220,2679
1221,4279
1222,-2451
1223,5024
1224,6007
1225,1071
1226,1971
1227,7489
1228,978
1229,13577
1230,4495
1231,1760
1232,-2571
1233,8505
1234,3682
1235,-3485
1236,-3496
1237,10788
1238,3131
1239,2605
1240,7724
1241,1665
1242,-557
1243,-1366
1244,4828
1245,1600
1246,24346
1247,111026
1248,-461
1249,1339
1250,1027
1251,67439
1252,26891
1253,-455
1254,74
1255,7337
