Zip,Median,Pop,Zipcode
1001,"56,663","16,445",10010
1002,"49,853","28,069",10020
1003,"28,462","8,491",10030
1005,"75,423","4,798",10050
1007,"79,076","12,962",10070
1008,"63,980","1,244",10080
1009,"51,452",889,10090
1010,"75,625","3,340",10100
1011,"63,476","1,323",10110
1012,"58,750",677,10120
1013,"36,578","22,907",10130
1020,"50,058","29,626",10200
1022,"50,440","2,124",10220
1026,"60,320","1,052",10260
1027,"58,573","17,452",10270
1028,"80,252","14,143",10280
1029,"62,955",663,10290
1030,"71,106","11,702",10300
1031,"61,250","1,192",10310
1032,"67,692",498,10320
1034,"63,980","1,910",10340
1035,"69,911","4,801",10350
1036,"78,869","5,089",10360
1037,"61,250",627,10370
1038,"53,939","2,557",10380
1039,"66,284","1,291",10390
1040,"35,549","39,827",10400
1050,"62,097","2,380",10500
1053,"60,477","1,720",10530
1054,"67,831","1,656",10540
1056,"63,318","21,205",10560
1057,"73,254","8,474",10570
1060,"48,069","15,578",10600
1062,"60,686","11,283",10620
1063,"40,694",393,10630
1066,"53,939",71,10660
1068,"77,396","1,651",10680
1069,"50,345","8,789",10690
1070,"60,320",573,10700
1071,"63,980","1,518",10710
1072,"67,831","1,503",10720
1073,"80,738","5,366",10730
1074,"75,423",315,10740
1075,"63,053","17,179",10750
1077,"73,645","8,842",10770
1079,"51,452",625,10790
1080,"50,100","2,208",10800
1081,"65,917","1,581",10810
1082,"51,936","10,125",10820
1083,"55,030","2,887",10830
1084,"58,750",158,10840
1085,"57,598","40,392",10850
1086,"93,611",323,10860
1088,"53,939",622,10880
1089,"53,711","27,894",10890
1092,"55,030","1,215",10920
1093,"59,722",340,10930
1094,"61,250",340,10940
1095,"89,486","13,572",10950
1096,"66,148","2,143",10960
1097,"63,980",113,10970
1098,"60,320","1,212",10980
1103,"16,963","2,731",11030
1104,"35,380","22,078",11040
1105,"17,756","12,816",11050
1106,"91,889","15,880",11060
1107,"23,557","11,615",11070
1108,"37,411","26,060",11080
1109,"34,638","30,683",11090
1118,"55,853","14,283",11180
1119,"45,184","13,170",11190
1128,"63,177","3,040",11280
1129,"58,704","6,982",11290
1151,"34,175","8,302",11510
1199,"48,306",14,11990
1201,"46,765","43,838",12010
1220,"38,379","8,947",12200
1222,"47,145",821,12220
1223,"48,478","2,287",12230
1224,"66,458",197,12240
1225,"57,419","3,264",12250
1226,"57,505","7,099",12260
1229,"55,096",129,12290
1230,"53,584","8,654",12300
1235,"63,877","2,597",12350
1236,"55,718","1,656",12360
1237,"69,659","2,426",12370
1238,"51,053","6,110",12380
1240,"60,458","4,787",12400
1242,"60,604",254,12420
1243,"60,320",360,12430
1244,"57,917",136,12440
1245,"63,152",989,12450
1247,"38,405","16,957",12470
1253,"62,955",607,12530
1254,"79,145","1,070",12540
1255,"62,955",824,12550
1256,"54,167",701,12560
1257,"47,145","2,223",12570
1258,"55,764",401,12580
1259,"57,917",640,12590
1260,"53,297",225,12600
1262,"55,096","1,357",12620
1264,"63,250",160,12640
1266,"64,328","1,681",12660
1267,"69,925","8,683",12670
1270,"70,662",761,12700
1301,"47,833","18,444",13010
